transaction_id,date,amount,currency,vendor_id,vendor_name,category,payment_method,description,tax_amount,vendor_risk_score,user_tenure_days,previous_txn_count,approval_status,duplicate_flag,missing_invoice_flag,unusual_vendor_flag,weekend_or_odd_time_flag
TXN-1001,2026-03-18 09:12:00,1280.50,USD,VND-010,Northstar Software,Software,Credit Card,Monthly SaaS subscription renewal,128.05,0.18,1280,14,Approved,0,0,0,0
TXN-1002,2026-03-18 22:45:00,18450.00,USD,VND-041,Rapid Field Ops,Consulting,Bank Transfer,Emergency consulting request after hours,1845.00,0.72,210,1,Pending,0,1,1,1
TXN-1003,2026-03-19 10:05:00,640.20,USD,VND-021,Office Lane,Office Supplies,Credit Card,Quarterly desk supply order,64.02,0.12,980,22,Approved,0,0,0,0
TXN-1004,2026-03-19 07:25:00,9320.75,USD,VND-055,Atlas Travel Co,Travel,Paypal,Executive travel booking for client visit,932.08,0.61,460,3,Approved,0,0,1,1
TXN-1005,2026-03-20 14:18:00,4100.00,USD,VND-033,Everpeak Equip,Equipment,Bank Transfer,Warehouse scanner replacement batch,410.00,0.35,1540,7,Approved,0,0,0,0
TXN-1006,2026-03-21 23:11:00,26800.00,USD,VND-077,Silverline Systems,Software,Bank Transfer,Unscheduled platform migration deposit,2680.00,0.84,120,0,Pending,1,1,1,1
TXN-1007,2026-03-22 11:42:00,1185.99,USD,VND-013,Waypoint Advisory,Consulting,Credit Card,Standard audit prep workshop,118.60,0.24,870,11,Approved,0,0,0,0
TXN-1008,2026-03-23 16:20:00,7550.40,USD,VND-088,Cobalt Office Hub,Office Supplies,Cash,Large office furniture refresh,755.04,0.49,300,2,Pending,0,1,0,0
TXN-1009,2026-03-24 08:35:00,520.00,USD,VND-019,Blue Route Travel,Travel,Credit Card,Regional train booking,52.00,0.10,1880,31,Approved,0,0,0,0
TXN-1010,2026-03-24 19:58:00,14995.25,USD,VND-064,Vector Contractors,Consulting,Paypal,Contractor payment outside normal workflow,1499.53,0.78,95,1,Rejected,0,0,1,1
TXN-1011,2026-03-25 13:06:00,3625.80,USD,VND-026,Horizon Equipment,Equipment,Bank Transfer,Routine maintenance tools purchase,362.58,0.29,640,6,Approved,0,0,0,0
TXN-1012,2026-03-25 21:34:00,11240.60,USD,VND-099,Nova Software Labs,Software,Bank Transfer,Duplicate-looking implementation invoice,1124.06,0.67,180,1,Pending,1,0,1,1
